original_image,crop_image,x_center_px,y_center_px
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST004.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST004_Pleiades_1.jpg,1743.9989759999999,1559.998464
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST004.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST004_Jupiter_2.jpg,1432.998912,816.001024
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST004.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST004_Aldebaran_3.jpg,1160.5002240000001,998.998016
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST004.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST004_Bellatrix_4.jpg,351.501312,325.001216
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST004.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST004_Elnath_5.jpg,1774.0001280000001,113.50016
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST004.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST004_Hassaleh_6.jpg,2090.999808,506.998784
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST005.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST005_Pleiades_1.jpg,1750.4993279999999,1566.998528
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST005.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST005_Jupiter_2.jpg,1434.000384,820.998144
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST005.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST005_Aldebaran_3.jpg,1164.499968,1012.498432
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST005.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST005_Bellatrix_4.jpg,362.99980800000003,329.998336
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST005.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST005_Elnath_5.jpg,1774.0001280000001,119.5008
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST005.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST005_Hassaleh_6.jpg,2092.00128,515.497984
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST006.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST006_Elnath_1.jpg,1774.0001280000001,132.501504
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST006.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST006_Hassaleh_2.jpg,2100.501504,526.49984
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST006.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST006_Jupiter_3.jpg,1438.000128,831.000576
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST006.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST006_Aldebaran_4.jpg,1157.49888,1016.999936
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST006.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST006_Bellatrix_5.jpg,351.998976,333.500416
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST006.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST006_Pleiades_6.jpg,1745.0004480000002,1559.998464
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST007.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST007_Jupiter_1.jpg,1438.998528,843.501568
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST007.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST007_Aldebaran_2.jpg,1161.4986239999998,1026.49856
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST007.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST007_Bellatrix_3.jpg,355.99872,345.001984
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST007.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST007_Elnath_4.jpg,1774.9985279999999,154.50112
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST007.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST007_Hassaleh_5.jpg,2097.50016,537.501696
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST007.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST007_Pleiades_6.jpg,1749.998592,1577.00096
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST007.jpg,MobilTelesco_Processed\crops\train\Zeta_Tauri\IMG20250104211035_BURST007_Zeta_Tauri_7.jpg,1277.5004159999999,18.00192
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST008.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST008_Pleiades_1.jpg,1751.000064,1583.0016
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST008.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST008_Jupiter_2.jpg,1441.001472,850.00192
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST008.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST008_Aldebaran_3.jpg,1170.4995840000001,1032.998912
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST008.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST008_Bellatrix_4.jpg,366.001152,365.99808
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST008.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST008_Elnath_5.jpg,1772.0002559999998,149.999616
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST008.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST008_Hassaleh_6.jpg,2092.498944,542.498816
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST008.jpg,MobilTelesco_Processed\crops\train\Zeta_Tauri\IMG20250104211035_BURST008_Zeta_Tauri_7.jpg,1281.50016,24.498176
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST009.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST009_Pleiades_1.jpg,1754.499072,1590.501376
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST009.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST009_Jupiter_2.jpg,1449.99936,859.500544
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST009.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST009_Aldebaran_3.jpg,1159.498752,1038.999552
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST009.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST009_Hassaleh_4.jpg,2094.4988160000003,554.000384
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST009.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST009_Elnath_5.jpg,1772.500992,163.999744
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST009.jpg,MobilTelesco_Processed\crops\train\Zeta_Tauri\IMG20250104211035_BURST009_Zeta_Tauri_6.jpg,1277.5004159999999,29.499392
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST009.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST009_Bellatrix_7.jpg,376.000512,369.50016
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST011.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST011_Pleiades_1.jpg,1753.5006720000001,1596.502016
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST011.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST011_Jupiter_2.jpg,1449.4986239999998,873.500672
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST011.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST011_Aldebaran_3.jpg,1175.000064,1050.001408
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST011.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST011_Hassaleh_4.jpg,2094.0011520000003,561.999872
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST011.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST011_Elnath_5.jpg,1781.999616,177.999872
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST011.jpg,MobilTelesco_Processed\crops\train\Zeta_Tauri\IMG20250104211035_BURST011_Zeta_Tauri_6.jpg,1281.50016,46.501888
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST011.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST011_Bellatrix_7.jpg,373.499904,385.499136
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST012.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST012_Pleiades_1.jpg,1759.500288,1611.501568
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST012.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST012_Jupiter_2.jpg,1444.50048,879.0016
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST012.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST012_Aldebaran_3.jpg,1179.500544,1059.999744
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST012.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST012_Hassaleh_4.jpg,2097.50016,576.499712
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST012.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST012_Elnath_5.jpg,1777.4991360000001,181.501952
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST012.jpg,MobilTelesco_Processed\crops\train\Zeta_Tauri\IMG20250104211035_BURST012_Zeta_Tauri_6.jpg,1282.49856,52.998144
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST012.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST012_Bellatrix_7.jpg,376.000512,397.500416
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST013.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST013_Pleiades_1.jpg,1762.999296,1613.500416
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST013.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST013_Jupiter_2.jpg,1447.999488,882.499584
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST013.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST013_Aldebaran_3.jpg,1178.499072,1071.501312
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST013.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST013_Hassaleh_4.jpg,2096.001024,581.500928
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST013.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST013_Elnath_5.jpg,1781.4988799999999,191.500288
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST013.jpg,MobilTelesco_Processed\crops\train\Zeta_Tauri\IMG20250104211035_BURST013_Zeta_Tauri_6.jpg,1281.50016,65.998848
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST013.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST013_Bellatrix_7.jpg,376.998912,405.000192
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST014.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST014_Pleiades_1.jpg,1766.9990400000002,1622.499328
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST014.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST014_Jupiter_2.jpg,1445.49888,893.50144
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST014.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST014_Aldebaran_3.jpg,1180.498944,1076.498432
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST014.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST014_Hassaleh_4.jpg,2098.49856,583.999488
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST014.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST014_Elnath_5.jpg,1777.4991360000001,194.998272
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST014.jpg,MobilTelesco_Processed\crops\train\Zeta_Tauri\IMG20250104211035_BURST014_Zeta_Tauri_6.jpg,1287.4997759999999,74.498048
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST014.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST014_Bellatrix_7.jpg,376.000512,412.99968
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST015.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST015_Pleiades_1.jpg,1770.9987840000001,1632.50176
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST015.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST015_Jupiter_2.jpg,1449.99936,905.998336
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST015.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST015_Aldebaran_3.jpg,1179.500544,1080.999936
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST015.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST015_Hassaleh_4.jpg,2095.500288,586.498048
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST015.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST015_Elnath_5.jpg,1784.500224,207.499264
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST015.jpg,MobilTelesco_Processed\crops\train\Zeta_Tauri\IMG20250104211035_BURST015_Zeta_Tauri_6.jpg,1286.5013760000002,76.00128
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST015.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST015_Bellatrix_7.jpg,382.99852799999996,429.498368
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST016.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST016_Pleiades_1.jpg,1770.5011200000001,1633.501184
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST016.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST016_Jupiter_2.jpg,1459.99872,911.499264
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST016.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST016_Aldebaran_3.jpg,1182.001152,1092.001792
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST016.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST016_Hassaleh_4.jpg,2098.000896,597.000192
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST016.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST016_Elnath_5.jpg,1779.499008,214.99904
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST016.jpg,MobilTelesco_Processed\crops\train\Zeta_Tauri\IMG20250104211035_BURST016_Zeta_Tauri_6.jpg,1292.0002559999998,88.498176
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST016.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST016_Bellatrix_7.jpg,380.998656,435.99872
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST017.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST017_Pleiades_1.jpg,1769.499648,1637.49888
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST017.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST017_Jupiter_2.jpg,1457.501184,917.999616
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST017.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST017_Aldebaran_3.jpg,1188.501504,1104.498688
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST017.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST017_Hassaleh_4.jpg,2103.499776,608.002048
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST017.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST017_Elnath_5.jpg,1781.0012159999999,220.99968
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST017.jpg,MobilTelesco_Processed\crops\train\Zeta_Tauri\IMG20250104211035_BURST017_Zeta_Tauri_6.jpg,1294.000128,99.999744
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST017.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST017_Bellatrix_7.jpg,382.000128,440.999936
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST018.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST018_Pleiades_1.jpg,1774.0001280000001,1649.999872
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST018.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST018_Aldebaran_2.jpg,1192.501248,1111.998464
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST018.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST018_Jupiter_3.jpg,1457.501184,926.498816
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST018.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST018_Hassaleh_4.jpg,2109.499392,623.501312
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST018.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST018_Elnath_5.jpg,1781.4988799999999,234.000384
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST018.jpg,MobilTelesco_Processed\crops\train\Zeta_Tauri\IMG20250104211035_BURST018_Zeta_Tauri_6.jpg,1284.0007679999999,105.500672
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST018.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST018_Bellatrix_7.jpg,392.500224,452.001792
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST019.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST019_Pleiades_1.jpg,1768.998912,1643.999232
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST019.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST019_Aldebaran_2.jpg,1192.000512,1117.999104
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST019.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST019_Jupiter_3.jpg,1453.999104,933.49888
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST019.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST019_Hassaleh_4.jpg,2100.501504,619.49952
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST019.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST019_Elnath_5.jpg,1785.0009599999998,241.000448
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST019.jpg,MobilTelesco_Processed\crops\train\Zeta_Tauri\IMG20250104211035_BURST019_Zeta_Tauri_6.jpg,1292.998656,119.001088
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST019.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST019_Bellatrix_7.jpg,394.500096,461.500416
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST020.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST020_Pleiades_1.jpg,1777.4991360000001,1663.500288
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST020.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST020_Jupiter_2.jpg,1460.499456,938.500096
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST020.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST020_Aldebaran_3.jpg,1192.000512,1121.501184
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST020.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST020_Hassaleh_4.jpg,2100.000768,632.000512
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST020.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST020_Elnath_5.jpg,1781.4988799999999,249.99936
